2015-03-02 17:39:44, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[74]------ 报文返回的证书ID>2.1267647932559E+37 
2015-03-02 17:39:44, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[77]------ 验证签名证书目录 :>./certs/ 
2015-03-02 17:39:44, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[93]------ 没有找到证书ID为[2.1267647932559E+37]的证书 
2015-03-02 17:40:21, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[74]------ 报文返回的证书ID>2.1267647932559E+37 
2015-03-02 17:40:21, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[77]------ 验证签名证书目录 :>./certs/ 
2015-03-02 17:40:21, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[93]------ 没有找到证书ID为[2.1267647932559E+37]的证书 
2015-03-02 17:40:21, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[74]------ 报文返回的证书ID>2.1267647932559E+37 
2015-03-02 17:40:21, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[77]------ 验证签名证书目录 :>./certs/ 
2015-03-02 17:40:21, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[93]------ 没有找到证书ID为[2.1267647932559E+37]的证书 
2015-03-02 17:40:22, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[74]------ 报文返回的证书ID>2.1267647932559E+37 
2015-03-02 17:40:22, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[77]------ 验证签名证书目录 :>./certs/ 
2015-03-02 17:40:22, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[93]------ 没有找到证书ID为[2.1267647932559E+37]的证书 
2015-03-02 17:40:22, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[74]------ 报文返回的证书ID>2.1267647932559E+37 
2015-03-02 17:40:22, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[77]------ 验证签名证书目录 :>./certs/ 
2015-03-02 17:40:22, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[93]------ 没有找到证书ID为[2.1267647932559E+37]的证书 
2015-03-02 17:40:22, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[74]------ 报文返回的证书ID>2.1267647932559E+37 
2015-03-02 17:40:22, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[77]------ 验证签名证书目录 :>./certs/ 
2015-03-02 17:40:22, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[93]------ 没有找到证书ID为[2.1267647932559E+37]的证书 
2015-03-02 17:40:53, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[74]------ 报文返回的证书ID>69333039252 
2015-03-02 17:40:53, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[77]------ 验证签名证书目录 :>./certs/ 
2015-03-02 17:40:53, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[93]------ 没有找到证书ID为[69333039252]的证书 
2015-03-02 17:40:54, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[74]------ 报文返回的证书ID>69333039252 
2015-03-02 17:40:54, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[77]------ 验证签名证书目录 :>./certs/ 
2015-03-02 17:40:54, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[93]------ 没有找到证书ID为[69333039252]的证书 
2015-03-02 17:40:54, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[74]------ 报文返回的证书ID>69333039252 
2015-03-02 17:40:54, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[77]------ 验证签名证书目录 :>./certs/ 
2015-03-02 17:40:54, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[93]------ 没有找到证书ID为[69333039252]的证书 
2015-03-02 17:40:54, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[74]------ 报文返回的证书ID>69333039252 
2015-03-02 17:40:54, INFO, 127.0.0.1, File[ D:\xampp\htdocs\group1\hm_php\plugins\OnlinePay\Unionpay\func\secureUtil.php ], Line[77]------ 验证签名证书目录 :>./certs/ 
